mrscid,mrsname,cumatrixid,cumatrixtitle,cumatrixitemid,cumatrixitemtitle,cumatrixgrpids,cumatrixtags,posterid,timestamp,logdate
empty,空的,0000015C9A2A2201000000056375706F795F72656C656173654355,讀她,0000015C9A750BBC000006176375706F795F72656C656173654349,零花費的約會模式啟動：就想整天跟你待在一起！,"['Babyhome_tw', 'Hedonism_tw', 'life_tw', 'gender_tw']",['empty'],F7110214,1561296365721,2019-06-23
empty,空的,0000015C9A2A2201000000056375706F795F72656C656173654355,讀她,0000015C9A7A7C200000061D6375706F795F72656C656173654349,愛得乏味了？六個方法讓伴侶間激情倍增！,"['Babyhome_tw', 'Hedonism_tw', 'life_tw', 'gender_tw']",['empty'],F7110214,1561298383844,2019-06-23
empty,空的,0000015C9A2A2201000000056375706F795F72656C656173654355,讀她,0000015C9A8908220000061F6375706F795F72656C656173654349,不失去這些重要的感受，才會是一段能長期幸福的關係,"['Babyhome_tw', 'Hedonism_tw', 'life_tw', 'gender_tw']",['empty'],F7110214,1561296391622,2019-06-23
empty,空的,0000015C9A2A2201000000056375706F795F72656C656173654355,讀她,0000015C9A915095000006246375706F795F72656C656173654349,做最幸福的男人，9個小技巧讓女人對你上癮,"['Babyhome_tw', 'Hedonism_tw', 'life_tw', 'gender_tw']",['empty'],F7110214,1561298012814,2019-06-23
empty,空的,0000015C9A2A2201000000056375706F795F72656C656173654355,讀她,0000015C9A944CC2000006276375706F795F72656C656173654349,厭倦感漸次昇華，如何延長熱戀期？,"['Babyhome_tw', 'Hedonism_tw', 'life_tw', 'gender_tw']",['empty'],F7110214,1561293266322,2019-06-23
empty,空的,0000015C9A2A2201000000056375706F795F72656C656173654355,讀她,0000015C9A993917000006286375706F795F72656C656173654349,你沒有什麼不好，只是他不喜歡你,"['Babyhome_tw', 'Hedonism_tw', 'life_tw', 'gender_tw']",['empty'],F7110214,1561296501947,2019-06-23
empty,空的,0000015C9A2A2201000000056375706F795F72656C656173654355,讀她,0000015C9A9DC8E1000006296375706F795F72656C656173654349,你喜歡他，但怎麼看出他是否同樣喜歡你？,"['Babyhome_tw', 'Hedonism_tw', 'life_tw', 'gender_tw']",['empty'],F7110214,1561293908569,2019-06-23
empty,空的,0000015C9A2A2201000000056375706F795F72656C656173654355,讀她,0000015C9AA8555C0000062A6375706F795F72656C656173654349,熱戀期時，你可能忽略了這六種感情危機,"['Babyhome_tw', 'Hedonism_tw', 'life_tw', 'gender_tw']",['empty'],F7110214,1561293285824,2019-06-23
empty,空的,0000015C9A2A2201000000056375706F795F72656C656173654355,讀她,0000015C9AAE73D60000062B6375706F795F72656C656173654349,男生都是外貌協會嗎？5個一見鍾情的愛情秘密！,"['Babyhome_tw', 'Hedonism_tw', 'life_tw', 'gender_tw']",['empty'],F7110214,1561298220084,2019-06-23
empty,空的,0000015C9A2A2201000000056375706F795F72656C656173654355,讀她,0000015C9AB07C6D0000062C6375706F795F72656C656173654349,變成了“傻白甜”的她，可能已經悄悄戀上你！,"['Babyhome_tw', 'Hedonism_tw', 'life_tw', 'gender_tw']",['empty'],F7110214,1561297820903,2019-06-23
empty,空的,0000015C9A2A2201000000056375706F795F72656C656173654355,讀她,0000015C9AB7821C0000062D6375706F795F72656C656173654349,這五種婚姻最容易存在小三,"['Babyhome_tw', 'Hedonism_tw', 'life_tw', 'gender_tw']",['empty'],F7110214,1561298333283,2019-06-23
empty,空的,0000015C9A2A2201000000056375706F795F72656C656173654355,讀她,0000015C9ABD8B770000062E6375706F795F72656C656173654349,情侶之間如何調情？感情升溫的幾個小技巧！,"['Babyhome_tw', 'Hedonism_tw', 'life_tw', 'gender_tw']",['empty'],F7110214,1561296358372,2019-06-23
empty,空的,0000015C9A2A2201000000056375706F795F72656C656173654355,讀她,0000015C9AC22CFB0000062F6375706F795F72656C656173654349,即使有了另一半，也請希望別埋葬自己的世界,"['Babyhome_tw', 'Hedonism_tw', 'life_tw', 'gender_tw']",['empty'],F7110214,1561298095753,2019-06-23
empty,空的,0000015C9A2A2201000000056375706F795F72656C656173654355,讀她,0000015C9AC51783000006306375706F795F72656C656173654349,認真嗎？和另一半一起旅遊就能檢驗真愛？,"['Babyhome_tw', 'Hedonism_tw', 'life_tw', 'gender_tw']",['empty'],F7110214,1561293624229,2019-06-23
empty,空的,0000015C9A2A2201000000056375706F795F72656C656173654355,讀她,0000015C9ACC861D000006316375706F795F72656C656173654349,男人or男孩？10招辨識你的另一半,"['Babyhome_tw', 'Hedonism_tw', 'life_tw', 'gender_tw']",['empty'],F7110214,1561297046603,2019-06-23
empty,空的,0000015C9A2A2201000000056375706F795F72656C656173654355,讀她,0000015C9AD211CE000006326375706F795F72656C656173654349,90%的男人鍾情這9種女人,"['Babyhome_tw', 'Hedonism_tw', 'life_tw', 'gender_tw']",['empty'],F7110214,1561296778016,2019-06-23
empty,空的,0000015C9A2A2201000000056375706F795F72656C656173654355,讀她,0000015C9AD60F0F000006336375706F795F72656C656173654349,男人沉默代表什麼？導致男人習慣沉默的原因又有那些呢？,"['Babyhome_tw', 'Hedonism_tw', 'life_tw', 'gender_tw']",['empty'],F7110214,1561298321436,2019-06-23
empty,空的,0000015C9A2A2201000000056375706F795F72656C656173654355,讀她,0000015C9ADB06D6000006346375706F795F72656C656173654349,7個成熟女生獨有的愛情治癒術,"['Babyhome_tw', 'Hedonism_tw', 'life_tw', 'gender_tw']",['empty'],F7110214,1561296866770,2019-06-23
empty,空的,0000015C9A2A2201000000056375706F795F72656C656173654355,讀她,0000015C9B0B375C000006526375706F795F72656C656173654349,如何讓心儀的他忍不住每天都想靠近你一點？,"['Babyhome_tw', 'Hedonism_tw', 'life_tw', 'gender_tw']",['empty'],F7110214,1561297967213,2019-06-23
empty,空的,0000015C9A2A2201000000056375706F795F72656C656173654355,讀她,0000015C9B0F0264000006536375706F795F72656C656173654349,想當個充滿魅力的女人，妳得告別這10種行為,"['Babyhome_tw', 'Hedonism_tw', 'life_tw', 'gender_tw']",['empty'],F7110214,1561298115616,2019-06-23
empty,空的,0000015C9A2A2201000000056375706F795F72656C656173654355,讀她,0000015C9B1390F8000006546375706F795F72656C656173654349,姐弟戀裡的七個優勢羨煞旁人,"['Babyhome_tw', 'Hedonism_tw', 'life_tw', 'gender_tw']",['empty'],F7110214,1561296849714,2019-06-23
empty,空的,0000015C9A2A2201000000056375706F795F72656C656173654355,讀她,0000015C9B178DF6000006556375706F795F72656C656173654349,四條戀愛中的男人禁忌,"['Babyhome_tw', 'Hedonism_tw', 'life_tw', 'gender_tw']",['empty'],F7110214,1561296708214,2019-06-23
empty,空的,0000015C9A2A2201000000056375706F795F72656C656173654355,讀她,0000015CD818F786000002576375706F795F72656C656173654349,男人喜歡的這四點女人味，你有嗎？,"['Babyhome_tw', 'Hedonism_tw', 'life_tw', 'gender_tw']",['empty'],F7110214,1561297284124,2019-06-23
empty,空的,0000015C9A2A2201000000056375706F795F72656C656173654355,讀她,0000015CD8247830000002586375706F795F72656C656173654349,妳是大叔控嗎？以下解析喜歡成熟男的5大原因！,"['Babyhome_tw', 'Hedonism_tw', 'life_tw', 'gender_tw']",['empty'],F7110214,1561298271831,2019-06-23
empty,空的,0000015C9A2A2201000000056375706F795F72656C656173654355,讀她,0000015CD82E45E1000002596375706F795F72656C656173654349,專屬失戀的句子，哪句最疼？,"['Babyhome_tw', 'Hedonism_tw', 'life_tw', 'gender_tw']",['empty'],F7110214,1561296467372,2019-06-23
empty,空的,0000015C9A2A2201000000056375706F795F72656C656173654355,讀她,0000015CD8354B760000025A6375706F795F72656C656173654349,分析冷暴力女人的性格，解密六大主要原因,"['Babyhome_tw', 'Hedonism_tw', 'life_tw', 'gender_tw']",['empty'],F7110214,1561297831383,2019-06-23
empty,空的,0000015C9A2A2201000000056375706F795F72656C656173654355,讀她,0000015CD83CE52B0000025B6375706F795F72656C656173654349,成熟女人受男人歡迎的6大理由,"['Babyhome_tw', 'Hedonism_tw', 'life_tw', 'gender_tw']",['empty'],F7110214,1561296902511,2019-06-23
empty,空的,0000015C9A2A2201000000056375706F795F72656C656173654355,讀她,0000015CD8523D7C0000025C6375706F795F72656C656173654349,戀愛冷知識：大家都在找顏值相近的人,"['Babyhome_tw', 'Hedonism_tw', 'life_tw', 'gender_tw']",['empty'],F7110214,1561297579553,2019-06-23
empty,空的,0000015C9A2A2201000000056375706F795F72656C656173654355,讀她,0000015CD85C27B60000025D6375706F795F72656C656173654349,已經走到這裡，你應該為自己感到驕傲,"['Babyhome_tw', 'Hedonism_tw', 'life_tw', 'gender_tw']",['empty'],F7110214,1561296578112,2019-06-23
empty,空的,0000015C9A2A2201000000056375706F795F72656C656173654355,讀她,0000015CD861C8CF0000025E6375706F795F72656C656173654349,如何延續熱戀期表現？放大優點，弱化缺點是關鍵！,"['Babyhome_tw', 'Hedonism_tw', 'life_tw', 'gender_tw']",['empty'],F7110214,1561291055754,2019-06-23
empty,空的,0000015C9A2A2201000000056375706F795F72656C656173654355,讀她,0000015CD861C8CF0000025E6375706F795F72656C656173654349,如何延續熱戀期表現？放大優點，弱化缺點是關鍵！,"['Babyhome_tw', 'Hedonism_tw', 'life_tw', 'gender_tw']",['empty'],F7110214,1561296371977,2019-06-23
empty,空的,0000015C9A2A2201000000056375706F795F72656C656173654355,讀她,0000015CD865658E0000025F6375706F795F72656C656173654349,如何讓你的女人死心塌地,"['Babyhome_tw', 'Hedonism_tw', 'life_tw', 'gender_tw']",['empty'],F7110214,1561296723680,2019-06-23
empty,空的,0000015C9A2A2201000000056375706F795F72656C656173654355,讀她,0000015CD86B18D6000002606375706F795F72656C656173654349,深入解析5種單身症狀，你也能有更多機會走進愛情,"['Babyhome_tw', 'Hedonism_tw', 'life_tw', 'gender_tw']",['empty'],F7110214,1561298253918,2019-06-23
empty,空的,0000015C9A2A2201000000056375706F795F72656C656173654355,讀她,0000015CD86DC141000002616375706F795F72656C656173654349,婚後生活：究竟是什麼傷害了夫妻彼此的感情？,"['Babyhome_tw', 'Hedonism_tw', 'life_tw', 'gender_tw']",['empty'],F7110214,1561298417438,2019-06-23
empty,空的,0000015C9A2A2201000000056375706F795F72656C656173654355,讀她,0000015CD87394FC000002626375706F795F72656C656173654349,睡前談談這些能增進夫妻感情,"['Babyhome_tw', 'Hedonism_tw', 'life_tw', 'gender_tw']",['empty'],F7110214,1561298340944,2019-06-23
empty,空的,0000015C9A2A2201000000056375706F795F72656C656173654355,讀她,0000015CD877F81E000002636375706F795F72656C656173654349,找這些藉口，只是不敢承認自己不再愛你,"['Babyhome_tw', 'Hedonism_tw', 'life_tw', 'gender_tw']",['empty'],F7110214,1561296663373,2019-06-23
empty,空的,0000015C9A2A2201000000056375706F795F72656C656173654355,讀她,0000015CD887FF88000002666375706F795F72656C656173654349,夫妻究竟是什麼關係？這個答案真好！,"['Babyhome_tw', 'Hedonism_tw', 'life_tw', 'gender_tw']",['empty'],F7110214,1561298352473,2019-06-23
empty,空的,0000015C9A2A2201000000056375706F795F72656C656173654355,讀她,0000015CD88A5B9D000002676375706F795F72656C656173654349,曖昧別高興，或許你只是她的備胎,"['Babyhome_tw', 'Hedonism_tw', 'life_tw', 'gender_tw']",['empty'],F7110214,1561297013871,2019-06-23
empty,空的,0000015C9A2A2201000000056375706F795F72656C656173654355,讀她,0000015CD88CB630000002686375706F795F72656C656173654349,有一種感情比情人還親密，就想要一輩子呵護著對方,"['Babyhome_tw', 'Hedonism_tw', 'life_tw', 'gender_tw']",['empty'],F7110214,1561298293956,2019-06-23
empty,空的,0000015C9A2A2201000000056375706F795F72656C656173654355,讀她,0000015CD88FFF4F000002696375706F795F72656C656173654349,面對愛情，他若愛你，你怎麼會不知道？,"['Babyhome_tw', 'Hedonism_tw', 'life_tw', 'gender_tw']",['empty'],F7110214,1561297664105,2019-06-23
empty,空的,0000015C9A2A2201000000056375706F795F72656C656173654355,讀她,0000015D8230770B0000009A6375706F795F72656C656173654349,女人最迷人的時候，就是不愛的時候,"['Babyhome_tw', 'Hedonism_tw', 'life_tw', 'gender_tw']",['empty'],F7110214,1561297355774,2019-06-23
empty,空的,0000015C9A2A2201000000056375706F795F72656C656173654355,讀她,0000015D82398B800000009B6375706F795F72656C656173654349,你知道哪種情侶分手率最高嗎？,"['Babyhome_tw', 'Hedonism_tw', 'life_tw', 'gender_tw']",['empty'],F7110214,1561296538109,2019-06-23
empty,空的,0000015C9A2A2201000000056375706F795F72656C656173654355,讀她,0000015D824785480000009C6375706F795F72656C656173654349,女神修煉手冊：15個細節讓你變得更自信,"['Babyhome_tw', 'Hedonism_tw', 'life_tw', 'gender_tw']",['empty'],F7110214,1561297802967,2019-06-23
empty,空的,0000015C9A2A2201000000056375706F795F72656C656173654355,讀她,0000015D8253DFB90000009D6375706F795F72656C656173654349,熱戀到平淡夫妻關係幸福長久10大秘訣,"['Babyhome_tw', 'Hedonism_tw', 'life_tw', 'gender_tw']",['empty'],F7110214,1561298357430,2019-06-23
empty,空的,0000015C9A2A2201000000056375706F795F72656C656173654355,讀她,0000015D825AA9B90000009E6375706F795F72656C656173654349,就算戀愛智商為零，你也不能忘的九件事情！,"['Babyhome_tw', 'Hedonism_tw', 'life_tw', 'gender_tw']",['empty'],F7110214,1561296125937,2019-06-23
empty,空的,0000015C9A2A2201000000056375706F795F72656C656173654355,讀她,0000015E12841B1A000000036375706F795F72656C656173654349,“結婚”到底是為了什麼？還不是：因為愛！,"['Babyhome_tw', 'Hedonism_tw', 'life_tw', 'gender_tw']",['empty'],F7110214,1561298364637,2019-06-23
empty,空的,00000159FDCED3BF000000086375706F795F70726572656C656173654355,《追風箏的孩子》,00000159FE4D0A06000001966375706F795F70726572656C656173654349,《追風箏的孩子》舞台劇劇照,"['Reading_tw', 'ReadNovel_tw']","['小說', '英文小說', '閱讀']",49910145,1561442440722,2019-06-25
empty,空的,000001628AA23F3D000000016375706F795F72656C656173654355,艾蜜莉-自由之路｜投資新手9堂課,000001628AA4D63C000000016375706F795F72656C656173654349,我完全不懂投資，要怎麼開始？,"['WhiteCollar_tw', 'business_tw', 'FinancialManagement_tw']","['價值投資法', '投資理財', '艾蜜莉']",B0310653,1561440323946,2019-06-25
empty,空的,00000159AB5EF689000000066375706F795F70726572656C656173654355,首爾就該這樣玩,00000159AB66B8CD000000506375706F795F70726572656C656173654349,首爾基本指南,"['Babyhome_tw', 'CityTour_tw', 'Hedonism_tw', 'life_tw', 'TravelLife_tw']","['旅遊', '韓國', '首爾']",F4810138,1561703261560,2019-06-28
empty,空的,0000015B4CAE3332000000036375706F795F72656C656173654355,艾瑪讀繪本,0000015E923418B7000000F26375706F795F72656C656173654349,【艾瑪唱童謠】Two Little Dicky Birds 講解+朗讀,"['Reading_tw', '_UNDEF_', 'PictureBook_tw']","['書籍', '繪本', '閱讀']",FA910146,1561768707600,2019-06-29
empty,空的,0000015B4CAE3332000000036375706F795F72656C656173654355,艾瑪讀繪本,0000015E92345FC3000000F46375706F795F72656C656173654349,【艾瑪讀繪本】Cat Traps,"['Reading_tw', '_UNDEF_', 'PictureBook_tw']","['書籍', '繪本', '閱讀']",FA910146,1561768464012,2019-06-29
empty,空的,0000015B4CAE3332000000036375706F795F72656C656173654355,艾瑪讀繪本,0000015EB92CAEEC000000426375706F795F72656C656173654349,【艾瑪唱童謠】Seven Steps 講解版,"['Reading_tw', '_UNDEF_', 'PictureBook_tw']","['書籍', '繪本', '閱讀']",FA910146,1561768069477,2019-06-29
empty,空的,0000015B4CAE3332000000036375706F795F72656C656173654355,艾瑪讀繪本,0000015EDC37D4CD000000106375706F795F72656C656173654349,【艾瑪唱童謠】Good Morning Mrs. Hen 純朗讀版,"['Reading_tw', '_UNDEF_', 'PictureBook_tw']","['書籍', '繪本', '閱讀']",FA910146,1561768903838,2019-06-29
empty,空的,0000015B4CAE3332000000036375706F795F72656C656173654355,艾瑪讀繪本,0000015F0FA32317000000726375706F795F72656C656173654349,【艾瑪讀繪本】蘭登1Happy Alphabet 朗讀講解,"['Reading_tw', '_UNDEF_', 'PictureBook_tw']","['書籍', '繪本', '閱讀']",FA910146,1561768984130,2019-06-29
empty,空的,0000015B4CAE3332000000036375706F795F72656C656173654355,艾瑪讀繪本,0000015F0FA38D58000000736375706F795F72656C656173654349,【艾瑪讀繪本】小熊寶寶誰哭了,"['Reading_tw', '_UNDEF_', 'PictureBook_tw']","['書籍', '繪本', '閱讀']",FA910146,1561769131258,2019-06-29
empty,空的,0000015B4CAE3332000000036375706F795F72656C656173654355,艾瑪讀繪本,0000015F2D9975F40000009B6375706F795F72656C656173654349,【小窩頭時間】排好隊一個接一個,"['Reading_tw', '_UNDEF_', 'PictureBook_tw']","['書籍', '繪本', '閱讀']",FA910146,1561768952149,2019-06-29
empty,空的,0000015B4CAE3332000000036375706F795F72656C656173654355,艾瑪讀繪本,0000015F2D99E34A0000009C6375706F795F72656C656173654349,【艾瑪讀繪本】Five Little Monkeys with Nothing to Do,"['Reading_tw', '_UNDEF_', 'PictureBook_tw']","['書籍', '繪本', '閱讀']",FA910146,1561769268986,2019-06-29
empty,空的,0000015B4CAE3332000000036375706F795F72656C656173654355,艾瑪讀繪本,0000015F2D9A15310000009D6375706F795F72656C656173654349,【艾瑪唱童謠】講解版Today is Monday,"['Reading_tw', '_UNDEF_', 'PictureBook_tw']","['書籍', '繪本', '閱讀']",FA910146,1561768917021,2019-06-29
empty,空的,0000015B4CAE3332000000036375706F795F72656C656173654355,艾瑪讀繪本,0000015F2D9A50870000009E6375706F795F72656C656173654349,【艾瑪讀繪本】蘭登1 Panda Kisses,"['Reading_tw', '_UNDEF_', 'PictureBook_tw']","['書籍', '繪本', '閱讀']",FA910146,1561769121415,2019-06-29
empty,空的,0000015B4CAE3332000000036375706F795F72656C656173654355,艾瑪讀繪本,0000015F4D0ADB1F000000D36375706F795F72656C656173654349,【艾瑪讀繪本】講解版Llama Llama Red Pajama,"['Reading_tw', '_UNDEF_', 'PictureBook_tw']","['書籍', '繪本', '閱讀']",FA910146,1561769277848,2019-06-29
empty,空的,00000162AE60B18B000000036375706F795F72656C656173654355,投資理財入門｜拯救月光族,00000162AE61A7DE0000003D6375706F795F72656C656173654349,月光是種病藥方開給你.mp4,"['WhiteCollar_tw', 'business_tw', 'FinancialManagement_tw']","['投資', '月光族', '理財', '理財入門']",B0310653,1562074759039,2019-07-02
empty,空的,0000015B225FB53D000000016375706F795F72656C656173654355,得到知識新聞,0000015D98C95C17000001E06375706F795F72656C656173654349,如何應對負能量同事？,"['WhiteCollar_tw', 'business_tw', 'management_tw']","['學習', '知識', '閱讀']",97210140,1562096154202,2019-07-03
empty,空的,0000015B225FB53D000000016375706F795F72656C656173654355,得到知識新聞,0000015D98C98AB6000001E16375706F795F72656C656173654349,商業：如何更好地實現公司合併,"['WhiteCollar_tw', 'business_tw', 'management_tw']","['學習', '知識', '閱讀']",97210140,1562096041254,2019-07-03
empty,空的,0000015B225FB53D000000016375706F795F72656C656173654355,得到知識新聞,0000015D98C9C1F8000001E26375706F795F72656C656173654349,文學：虛構與真實,"['WhiteCollar_tw', 'business_tw', 'management_tw']","['學習', '知識', '閱讀']",97210140,1562096039880,2019-07-03
empty,空的,0000015B225FB53D000000016375706F795F72656C656173654355,得到知識新聞,0000015D98C9EFF3000001E36375706F795F72656C656173654349,新研究：男性對婚姻更滿意？,"['WhiteCollar_tw', 'business_tw', 'management_tw']","['學習', '知識', '閱讀']",97210140,1562095938108,2019-07-03
empty,空的,000001628AA23F3D000000016375706F795F72656C656173654355,艾蜜莉-自由之路｜投資新手9堂課,000001628AA4D63C000000016375706F795F72656C656173654349,我完全不懂投資，要怎麼開始？,"['WhiteCollar_tw', 'business_tw', 'FinancialManagement_tw']","['價值投資法', '投資理財', '艾蜜莉']",B0310653,1562227630952,2019-07-04
empty,空的,000001606D62AE66000000016375706F795F72656C656173654355,頂尖人才這樣來,00000160729000B90000009C6375706F795F72656C656173654349,雇主品牌實戰筆記！說書人的力量,"['WhiteCollar_tw', 'business_tw', 'tech_tw', 'startups_tw']","['創業', '商業', '招募']",96910144,1562300857206,2019-07-05
empty,空的,0000015B24546815000000046375706F795F72656C656173654355,每天學點經濟學,0000015B27D79D14000005356375706F795F72656C656173654349,144網紅主題（2）：網紅如何變現,"['InternationalFinance_tw', 'business_tw', 'finance_tw']","['投資知識', '理財教學', '經濟學', '財經入門']",9B310147,1562555681023,2019-07-08
empty,空的,000001628AA23F3D000000016375706F795F72656C656173654355,艾蜜莉-自由之路｜投資新手9堂課,000001628AA4D63C000000016375706F795F72656C656173654349,我完全不懂投資，要怎麼開始？,"['WhiteCollar_tw', 'business_tw', 'FinancialManagement_tw']","['價值投資法', '投資理財', '艾蜜莉']",B0310653,1562570668671,2019-07-08
empty,空的,0000015E1370AFB4000000016375706F795F72656C656173654355,嬰兒與母親,0000015E1372B6FD000000556375706F795F72656C656173654349,外頭燒、體內也燒！5大常見夏季發燒原因,"['Babyhome_tw', 'life_tw', 'parenting_tw']",['empty'],9D810456,1562643498664,2019-07-09
empty,空的,00000159AB5EF689000000066375706F795F70726572656C656173654355,首爾就該這樣玩,00000159AB66B8CD000000506375706F795F70726572656C656173654349,首爾基本指南,"['Babyhome_tw', 'CityTour_tw', 'Hedonism_tw', 'life_tw', 'TravelLife_tw']","['旅遊', '韓國', '首爾']",F4810138,1562764515936,2019-07-10
empty,空的,00000159AB5EF689000000066375706F795F70726572656C656173654355,首爾就該這樣玩,00000159AB826F36000000526375706F795F70726572656C656173654349,歷史,"['Babyhome_tw', 'CityTour_tw', 'Hedonism_tw', 'life_tw', 'TravelLife_tw']","['旅遊', '韓國', '首爾']",F4810138,1562764600112,2019-07-10
empty,空的,0000015B225FB53D000000016375706F795F72656C656173654355,得到知識新聞,0000015D98C9EFF3000001E36375706F795F72656C656173654349,新研究：男性對婚姻更滿意？,"['WhiteCollar_tw', 'business_tw', 'management_tw']","['學習', '知識', '閱讀']",97210140,1562724649993,2019-07-10
empty,空的,000001606D62AE66000000016375706F795F72656C656173654355,頂尖人才這樣來,000001606D9FCF88000000716375706F795F72656C656173654349,關於招募，雇主品牌比你想像的還更重要！,"['WhiteCollar_tw', 'business_tw', 'tech_tw', 'startups_tw']","['創業', '商業', '招募']",96910144,1562745066082,2019-07-10
empty,空的,000001606D62AE66000000016375706F795F72656C656173654355,頂尖人才這樣來,000001609611458D000000456375706F795F72656C656173654349,社群招募案例分享_勤業眾信,"['WhiteCollar_tw', 'business_tw', 'tech_tw', 'startups_tw']","['創業', '商業', '招募']",96910144,1562733095606,2019-07-10
empty,空的,0000015B80930E980000000D6375706F795F72656C656173654355,盜墓筆記,0000015B80AA9FCC000005906375706F795F72656C656173654349,《盜墓筆記之2秦嶺神樹》第37集,"['Reading_tw', '_UNDEF_', 'ReadNovel_tw']","['懸疑小說', '盜墓筆記', '閱讀']",49910145,1562821881883,2019-07-11
empty,空的,000001628AA23F3D000000016375706F795F72656C656173654355,艾蜜莉-自由之路｜投資新手9堂課,000001628AA4D63C000000016375706F795F72656C656173654349,我完全不懂投資，要怎麼開始？,"['WhiteCollar_tw', 'business_tw', 'FinancialManagement_tw']","['價值投資法', '投資理財', '艾蜜莉']",B0310653,1562808413106,2019-07-11
empty,空的,00000162AE60B18B000000036375706F795F72656C656173654355,投資理財入門｜拯救月光族,00000162AE61A7DE0000003D6375706F795F72656C656173654349,月光是種病藥方開給你.mp4,"['WhiteCollar_tw', 'business_tw', 'FinancialManagement_tw']","['投資', '月光族', '理財', '理財入門']",B0310653,1562843149070,2019-07-11
empty,空的,00000162AE60B18B000000036375706F795F72656C656173654355,投資理財入門｜拯救月光族,00000162AE890D51000000446375706F795F72656C656173654349,2.戰勝月光get消費好習慣,"['WhiteCollar_tw', 'business_tw', 'FinancialManagement_tw']","['投資', '月光族', '理財', '理財入門']",B0310653,1562843548911,2019-07-11
empty,空的,000001628AA23F3D000000016375706F795F72656C656173654355,艾蜜莉-自由之路｜投資新手9堂課,000001628AA4D63C000000016375706F795F72656C656173654349,我完全不懂投資，要怎麼開始？,"['WhiteCollar_tw', 'business_tw', 'FinancialManagement_tw']","['價值投資法', '投資理財', '艾蜜莉']",B0310653,1562898703475,2019-07-12
empty,空的,000001628AA23F3D000000016375706F795F72656C656173654355,艾蜜莉-自由之路｜投資新手9堂課,000001628ACBFEAB000000026375706F795F72656C656173654349,投資，達成財務自由的「加速」法則！,"['WhiteCollar_tw', 'business_tw', 'FinancialManagement_tw']","['價值投資法', '投資理財', '艾蜜莉']",B0310653,1562901523971,2019-07-12
